From Verse	To Verse	Votes	#www.openbible.info CC-BY 2025-11-10
Jas.1.1	Rom.1.1	7
Jas.1.1	Ezek.12.15	21
Jas.1.1	Acts.8.1	13
Jas.1.1	Exod.24.4	4
Jas.1.1	Titus.1.1	7
Jas.1.1	Exod.28.21	3
Jas.1.1	Deut.4.27	4
Jas.1.1	Acts.26.7	10
Jas.1.1	2Pet.1.1	5
Jas.1.1	Deut.30.3	5
Jas.1.1	Deut.32.26	-1
Jas.1.1	Luke.22.30	3
Jas.1.1	Exod.39.14	3
Jas.1.1	Rev.7.4	3
Jas.1.1	Acts.2.5	3
Jas.1.1	1Kgs.18.31	4
Jas.1.1	Acts.23.26	-1
Jas.1.1	Ezra.6.17	4
Jas.1.1	Matt.19.28	6
Jas.1.1	Acts.15.21	5
Jas.1.1	1Pet.1.1	18
Jas.1.1	Acts.15.23	8
Jas.1.1	John.7.35	15
Jas.1.1	Acts.12.17	5
Jas.1.1	Matt.10.3	3
Jas.1.1	Phil.1.1	5
Jas.1.1	Luke.6.15	1
Jas.1.1	Gal.2.9	8
Jas.1.1	Gal.2.12	6
Jas.1.1	Mark.3.18	1
Jas.1.1	Lev.26.33	5
Jas.1.1	Jude.1.1	6
Jas.1.1	John.12.26	6
Jas.1.1	Acts.15.13	8
Jas.1.1	Matt.13.55	6
Jas.1.1	Acts.21.18	7
Jas.1.1	2Tim.4.21	1
Jas.1.1	Deut.28.64	8
Jas.1.1	Acts.1.13	5
Jas.1.1	Esth.3.8	3
Jas.1.1	Gal.1.19	6
Jas.1.2	Acts.5.41	31
Jas.1.2	Phil.2.17	19
Jas.1.2	Heb.10.34	23
Jas.1.2	Jas.1.12	149
Jas.1.2	1Pet.1.6-1Pet.1.8	152
Jas.1.2	Heb.11.36-Heb.11.38	20
Jas.1.2	Luke.6.22-Luke.6.23	65
Jas.1.2	2Pet.2.9	47
Jas.1.2	Rom.8.17-Rom.8.18	44
Jas.1.2	1Pet.4.13-1Pet.4.16	33
Jas.1.2	Phil.1.29	59
Jas.1.2	Col.1.24	40
Jas.1.2	Rom.8.35-Rom.8.37	37
Jas.1.2	Rev.2.10	41
Jas.1.2	Matt.5.10-Matt.5.12	73
Jas.1.2	2Cor.12.9-2Cor.12.10	97
Jas.1.3	2Pet.1.6	22
Jas.1.3	Rom.2.7	15
Jas.1.3	2Thess.1.4	15
Jas.1.3	Rom.5.3-Rom.5.4	74
Jas.1.3	Col.1.11	34
Jas.1.3	Rom.8.28	30
Jas.1.3	2Thess.3.5	17
Jas.1.3	2Cor.4.17	30
Jas.1.3	Rom.15.4	23
Jas.1.3	1Pet.1.7	30
Jas.1.3	Heb.10.36	39
Jas.1.3	Heb.12.1	17
Jas.1.3	Rom.8.25	20
Jas.1.4	1Pet.5.10	34
Jas.1.4	Matt.5.48	29
Jas.1.4	Matt.19.20	2
Jas.1.4	1John.4.17-1John.4.18	3
Jas.1.4	Jas.3.2	8
Jas.1.4	Col.4.12	5
Jas.1.4	Phil.3.12-Phil.3.15	7
Jas.1.4	Job.17.9	5
Jas.1.4	2Pet.1.9	3
Jas.1.4	Hab.2.3	14
Jas.1.4	Jas.1.5	6
Jas.1.4	Heb.13.21	12
Jas.1.4	Jas.5.7-Jas.5.11	13
Jas.1.4	Luke.21.19	33
Jas.1.4	John.17.23	2
Jas.1.4	Luke.18.22	2
Jas.1.4	1Cor.2.6	7
Jas.1.4	Ps.40.1	9
Jas.1.4	Mark.10.21	2
Jas.1.4	Gal.6.9	15
Jas.1.4	Luke.8.15	5
Jas.1.4	Ps.37.7	7
Jas.1.4	Prov.4.8	3
Jas.1.4	2Tim.3.17	23
Jas.1.4	Matt.10.22	7
Jas.1.5	John.15.7	72
Jas.1.5	John.14.13	32
Jas.1.5	Prov.3.5-Prov.3.7	65
Jas.1.5	Matt.7.7-Matt.7.11	39
Jas.1.5	Luke.11.9-Luke.11.13	20
Jas.1.5	Isa.55.6-Isa.55.7	22
Jas.1.5	Jas.1.17	14
Jas.1.5	1Chr.22.12	15
Jas.1.5	Prov.2.3-Prov.2.6	117
Jas.1.5	Exod.31.6	17
Jas.1.5	Dan.2.18-Dan.2.22	15
Jas.1.5	John.4.10	17
Jas.1.5	1John.3.22	22
Jas.1.5	Jas.3.17	38
Jas.1.5	2Cor.2.16	8
Jas.1.5	1Kgs.3.7-1Kgs.3.12	32
Jas.1.5	Jer.29.12-Jer.29.13	66
Jas.1.5	1John.5.14-1John.5.15	44
Jas.1.5	Matt.11.20	12
Jas.1.5	Exod.36.1-Exod.36.4	14
Jas.1.5	John.16.23-John.16.24	26
Jas.1.5	Jas.5.16	17
Jas.1.5	Mark.16.14	8
Jas.1.5	Job.28.12-Job.28.28	15
Jas.1.5	2Chr.1.10	41
Jas.1.5	Exod.31.3	19
Jas.1.5	Jer.1.6-Jer.1.7	12
Jas.1.5	Prov.9.4-Prov.9.6	14
Jas.1.5	Luke.15.20-Luke.15.22	5
Jas.1.6	Gen.49.4	-5
Jas.1.6	Heb.10.23	26
Jas.1.6	1Tim.2.8	9
Jas.1.6	Heb.13.9	10
Jas.1.6	Mark.11.22-Mark.11.24	34
Jas.1.6	Heb.11.6	47
Jas.1.6	Matt.21.21-Matt.21.22	58
Jas.1.6	Eph.4.14	29
Jas.1.6	2Pet.2.17	-1
Jas.1.6	Jude.1.12-Jude.1.13	-1
Jas.1.7	Prov.15.8	4
Jas.1.7	Prov.21.27	5
Jas.1.7	Jas.4.3	13
Jas.1.7	Isa.58.3-Isa.58.4	6
Jas.1.7	Isa.1.15	4
Jas.1.8	Jas.4.8	26
Jas.1.8	Isa.29.13	15
Jas.1.8	Hos.7.8-Hos.7.11	1
Jas.1.8	2Kgs.17.33	3
Jas.1.8	2Kgs.17.41	7
Jas.1.8	1Kgs.18.21	37
Jas.1.8	2Pet.2.14	13
Jas.1.8	Matt.6.24	32
Jas.1.8	2Pet.3.16	7
Jas.1.8	Hos.10.2	-1
Jas.1.8	Matt.6.22	-1
Jas.1.9	Rev.7.9-Rev.7.10	-1
Jas.1.9	Phil.3.3	1
Jas.1.9	Ps.62.9	4
Jas.1.9	Phil.3.14	1
Jas.1.9	Deut.15.11	2
Jas.1.9	Luke.9.48	1
Jas.1.9	Ps.113.7-Ps.113.8	4
Jas.1.9	2Cor.6.10	7
Jas.1.9	Prov.19.1	11
Jas.1.9	Rom.8.17	1
Jas.1.9	Prov.17.5	2
Jas.1.9	Deut.15.9	2
Jas.1.9	Rev.2.9	4
Jas.1.9	Luke.10.20	1
Jas.1.9	Jer.9.23-Jer.9.24	21
Jas.1.9	Jas.2.5-Jas.2.6	12
Jas.1.9	Deut.15.7	2
Jas.1.9	1Pet.2.9	1
Jas.1.9	Luke.1.52	4
Jas.1.9	Rom.5.2-Rom.5.3	2
Jas.1.9	Rev.5.9-Rev.5.10	2
Jas.1.9	1John.3.1-1John.3.3	3
Jas.1.9	1Sam.2.8	1
Jas.1.10	Isa.57.15	2
Jas.1.10	Phil.3.8	2
Jas.1.10	Ps.37.35-Ps.37.36	1
Jas.1.10	Ps.90.5-Ps.90.6	3
Jas.1.10	1Cor.7.31	4
Jas.1.10	Ps.37.2	2
Jas.1.10	1Tim.6.17	8
Jas.1.10	Ps.103.15	4
Jas.1.10	Isa.66.2	3
Jas.1.10	Job.14.2	8
Jas.1.10	Isa.40.6	3
Jas.1.10	1Pet.1.24	16
Jas.1.10	1John.2.17	11
Jas.1.10	Matt.5.3	6
Jas.1.10	Jas.4.14	3
Jas.1.10	Matt.6.30	3
Jas.1.10	Ps.102.11	2
Jas.1.11	Jas.5.1-Jas.5.7	3
Jas.1.11	1Pet.5.4	2
Jas.1.11	Isa.40.7-Isa.40.8	8
Jas.1.11	Isa.28.4	1
Jas.1.11	Isa.28.1	1
Jas.1.11	Ps.102.11	1
Jas.1.11	Ps.73.18-Ps.73.20	2
Jas.1.11	Mark.4.6	4
Jas.1.11	1Cor.7.31	2
Jas.1.11	Luke.12.16-Luke.12.21	3
Jas.1.11	Ps.102.4	2
Jas.1.11	Ps.37.35-Ps.37.36	6
Jas.1.11	Matt.13.6	3
Jas.1.11	Job.21.24-Job.21.30	2
Jas.1.11	Luke.16.19-Luke.16.25	4
